Word,Frequency
shelf,13
blockbust,49
call,360
mei,4
could,1096
resist,26
pick,166
bring,280
home,312
sappi,19
romant,174
touch,302
heart,302
mention,192
laugh,411
pleasur,93
time,2202
though,710
cryi,1
admit,166
whole,421
outlook,14
life,1022
thereafteri,1
horror,294
pure,125
humor,284
buff,45
brotherwho,1
absolut,303
sens,314
feelingit,1
make,1783
loud,52
fall,272
loveand,1
lifeeveri,1
purpos,65
walk,143
past,223
awar,52
conscious,17
choic,111
live,745
inspir,163
moviewho,1
know,1032
happen,422
mind,362
mystic,16
notresist,4
chanc,234
use,660
marvel,84
song,308
name,386
throughout,249
excel,624
extra,100
larg,125
eye,317
variabl,2
facial,27
express,113
part,765
expertis,6
act,996
differ,574
peopl,1256
divers,27
compar,186
chaplin,18
second,350
warm,70
rare,187
actor,875
better,817
abl,240
reveal,103
movement,60
gestur,18
cybil,7
shepherd,7
ryan,53
oneal,4
downeyjr,1
especi,529
mari,121
stuart,12
masterson,25
simpli,254
outdo,4
probabl,516
hardest,8
role,676
night,362
decid,251
watch,2012
pleas,179
thought,628
plot,744
deceas,8
get,1656
say,999
wife,267
stay,199
devot,34
23,18
year,1195
best,1387
comedi,539
nice,419
watchabl,38
direct,610
oldfashion,11
fine,300
corinn,10
ca,465
husband,138
death,259
sexi,64
matur,61
philip,15
nondescript,4
may,602
adequ,13
that,447
enough,421
notbad,36
notget,186
notsay,55
notgood,16
esp,5
sometim,226
wearisom,1
earnest,13
today,328
politicallymind,1
filmmak,188
easili,145
combin,130
sex,178
gender,16
relat,205
polit,136
art,259
rariti,8
bouyant,1
optim,9
1960s,22
regain,11
think,1255
least,372
learn,240
lesson,75
breezi,6
energi,47
charm,196
label,18
bore,197
pack,66
never,929
remain,155
15,71
min,19
notknow,268
flaw,124
move,465
nay,2
sayer,1
bitter,32
unrequit,2
anyon,443
capabl,44
understand,337
johnni,45
mathiss,1
era,133
bobbi,23
darin,1
beyond,133
sea,40
stan,16
getz,2
ipanema,1
et,18
al,28
alan,52
thing,1013
disturb,107
im,647
go,1187
ityoul,1
find,852
rate,363
lack,173
jrs,3
puppydog,1
allinal,6
develop,212
suffici,13
noth,378
seem,842
rush,50
tend,70
charact,1552
likeabl,12
plenti,123
hilari,228
idea,312
overal,344
tie,54
aspect,140
unsatisfactorybi,1
matter,227
opinion,226
said,298
notthink,142
notgo,108
notseen,159
ordinarili,3
quit,642
satisfi,128
first,1350
half,206
done,477
alex,20
finch,7
die,241
reincarn,7
new,673
bodi,123
play,1172
meet,239
friend,517
daughter,143
grown,35
rediscov,10
amount,84
emot,352
happi,235
final,493
goe,353
downhil,8
sever,286
sexrel,1
turn,508
complet,399
despit,231
age,352
howev,533
manag,213
possibl,266
circumst,34
disappoint,239
immor,7
potenti,69
heaven,62
theme,232
sung,22
peter,160
cetera,4
cher,2
ultim,137
similar,209
tri,691
wait,235
decent,107
kind,427
wish,214
notquit,82
notgreat,27
loss,47
pass,145
emil,14
ardolino,1
take,959
light,258
script,305
edit,159
twinkl,6
shine,62
particular,301
brightest,4
sky,75
romanc,157
definit,475
tune,63
randi,11
perri,12
howz,2
next,256
phonedin,1
sequel,118
three,313
men,288
babi,104
theatric,51
releas,418
sister,139
give,915
ninefiguregross,1
smash,16
hit,236
deserv,270
mr,202
cinemat,84
alway,630
big,516
shepperd,1
sinc,526
seri,457
ago,247
show,1131
drop,54
amus,119
line,449
everybodi,82
also,1380
bit,558
mavi,1
lose,142
wig,10
near,249
floor,43
mustse,49
obsess,67
got,581
22,12
old,611
yale,2
grad,2
realiz,188
came,310
left,302
26,14
earlier,117
louie,4
jeffri,4
nononsens,6
lawyer,40
happili,25
marri,129
corrin,3
sheppard,1
kill,339
oneyear,1
anniversari,7
car,158
demand,46
enter,78
lot,781
confus,108
although,497
15year,1
still,1059
often,288
soul,108
answer,101
need,484
riot,21
look,1142
tuxedo,3
recycl,11
yes,230
schmaltzi,2
justic,79
loui,29
storylin,140
farfetch,14
complicatedi,1
summar,10
suffic,18
worth,521
funni,597
beautifulth,2
total,241
unrealist,18
everyth,327
greatit,4
creat,260
sweet,145
entir,260
bonusesth,1
titl,273
mathi,1
notsuffic,1
fantasi,140
whose,148
christoph,43
mcdonald,3
short,373
pregnant,13
let,364
power,331
soon,187
told,186
return,180
earth,85
flashforward,1
19,19
prepar,66
graduat,23
colleg,78
encount,57
young,628
man,815
jrwho,1
father,322
predict,113
sideth,1
energet,13
help,422
wrap,37
screen,410
advantag,37
talent,260
group,165
support,282
engulf,5
enchant,35
nothelp,73
jag,5
är,1
nyfiken,1
,92
yellow,17
review,301
numer,39
occas,34
selfawar,1
explor,106
bergman,11
youth,78
earli,302
mid60,2
sweden,12
issu,119
read,394
contradict,13
nation,90
world,703
face,310
appear,331
socialpolit,1
documentari,164
lena,10
main,365
other,316
interview,54
common,83
politician,19
eg,29
olaf,1
palm,11
parodi,46
person,519
complex,125
contradictori,3
sad,247
curious,51
addit,95
dimens,18
sjöman,1
document,25
wing,47
sudden,96
remind,182
viewer,328
fiction,122
artific,4
presenc,61
layer,29
bjork,1
video,251
ad,104
infinitum,1
iter,2
weirder,2
cartoonish,10
cup,32
tea,13
witti,75
refresh,78
ebulli,2
authent,41
writer,181
craft,64
engag,110
trio,28
chemistri,81
caper,14
grace,49
style,260
number,199
tv,400
found,451
superb,196
along,303
given,270
begin,451
pictureperfect,2
marriag,60
shatter,7
halt,7
unexpect,76
fortun,59
lous,2
shot,354
agre,134
newborn,2
forget,124
fate,50
cross,69
path,32
later,363
miranda,19
flood,12
wealth,14
unwant,4
memori,117
embarrass,36
situat,191
occur,50
felt,214
cute,117
wont,24
youll,234
whod,9
candyman,4
immort,26
belov,46
surpris,501
iron,73
papierhaus,1
heard,207
must,550
late,248
80s,111
hand,261
worst,89
period,153
recent,252
decad,96
talk,249
iranian,21
swedish,20
cinema,321
mere,84
solid,126
unlik,173
claim,76
dreamt,1
wondrous,13
anna,21
clever,120
loos,74
neat,43
unansw,11
question,215
leav,320
individu,77
interpret,52
wrong,240
pepperhaus,1
somewhat,178
unusu,84
mix,123
kid,411
sound,254
fact,505
central,69
typic,160
moviecliché,1
ultrashybutsecretlybrilli,1
socialoutcast,1
regular,50
normal,123
sick,66
tire,72
project,108
misfitlik,1
childhood,62
book,335
onto,36
care,253
anymor,52
miser,25
lone,52
background,112
monopoli,4
boy,282
snog,2
stretch,35
evok,25
vagu,19
disgust,32
suppos,167
11,57
burk,8
13,38
14,41
upgrad,4
younger,103
actress,209
obvious,254
older,125
henc,22
dilut,3
realism,53
ill,179
notsurpris,18
nottalk,14
notbrilliant,2
notend,6
notupgrad,1
9,111
10,424
current,81
mindfram,2
fresh,95
perspect,64
rememb,417
psycholog,67
thriller,180
dazzl,23
brain,53
hbo,20
1990,20
record,104
gone,117
sure,496
edward,50
scissorhand,1
beetlejuic,1
gummo,1
sort,225
strang,181
overlook,50
unfortun,168
clownhous,1
victor,59
salva,1
horribl,59
due,154
legalsexu,1
problem,263
cameron,16
closet,11
strike,75
underratednot,1
paper,31
hous,221
quiet,79
stick,75
far,464
longer,72
paus,10
wherea,20
6,59
month,76
ether,5
notnear,21
air,139
bought,83
dvd,500
8,114
notwatch,59
49,6
paperhous,6
thrillerhorror,2
1988,13
bed,47
fever,25
11year,2
charlott,17
draw,72
compani,92
health,26
progress,57
worsen,2
black,272
out,6
grip,60
episod,322
dream,179
desol,9
field,51
sicklyinvalid,1
marc,17
elliot,8
spier,2
inhabit,34
dark,259
unknown,39
danger,95
threaten,45
idyl,5
jeopardi,2
mirror,30
state,180
rose,42
follow,366
1992,13
gem,144
bona,4
fide,4
cult,78
favorit,455
fantast,224
storytel,52
child,160
adult,180
physic,77
visit,90
influenc,72
psychologist,11
shes,155
subconsci,10
sleep,72
goosepimpl,1
dad,66
chase,105
stand,215
market,46
filmit,5
british,142
guess,177
without,522
usual,318
notstand,14
written,246
flick,232
ring,72
grudg,10
subtl,104
attent,162
detail,169
effort,113
intern,89
consist,56
appreci,223
absenc,17
dr,90
phil,13
psychobabbl,1
revision,1
advanc,51
agenda,9
spars,3
dreamscap,4
reminisc,38
wyeth,1
paint,66
exampl,218
small,308
budget,173
studio,137
bignam,4
mani,1128
hitchcock,30
special,339
notrealli,169
glad,150
avail,104
triumph,35
content,67
emptyhead,1
flash,31
constant,88
nois,18
conclus,81
explos,52
cut,142
bright,35
colour,42
youd,48
transform,46
suspens,144
unfold,40
skill,81
evoc,10
narrat,128
insult,20
forc,208
feed,16
cacophon,1
nonsens,24
trash,51
wast,71
ten,135
two,928
obscur,35
haunt,88
impress,262
shame,105
han,10
zimmer,2
score,226
directori,28
debut,67
bernard,14
argu,28
regardless,24
burkedream,1
repres,76
real,690
conflict,81
lifeth,2
tree,18
mark,138
lighthous,1
etc,163
hope,423
across,169
load,45
check,209
store,80
multigenr,1
glenn,20
healdi,1
accent,52
except,256
rent,175
lover,120
surreal,54
discov,157
ifc,2
keeper,7
tell,456
general,197
correct,66
bother,52
altern,35
concept,86
brought,138
ana,4
impend,4
link,29
someon,255
els,243
famili,519
troubl,122
frighten,56
hint,32
preteen,12
hate,155
heartili,7
imagin,247
notbother,16
john,376
mourbi,1
2003,19
alfr,30
psycho,33
scare,83
deepli,89
began,58
frantic,13
search,83
none,107
satisfactori,7
amongst,26
fail,114
bird,29
dead,237
silenc,28
lamb,5
blair,11
witch,62
evil,166
sixth,10
28,7
texa,35
chainsaw,7
massacr,23
halloween,39
alien,75
peep,5
tom,141
cell,20
rosemari,22
witchfind,2
friday,31
13th,6
omen,3
confirm,20
desper,84
stop,212
truli,342
nightmar,68
elm,11
street,156
shock,147
upset,33
2,241
dose,24
1,127
parent,137
fear,128
3,172
genuin,105
4,108
scari,100
notlook,37
caus,162
drift,17
creation,29
bleak,33
drew,59
dumpi,2
middl,127
purgatorylimbo,1
frequent,34
figur,148
what,101
process,57
save,136
harder,13
wake,29
trap,44
forev,74
visual,195
hes,280
unnerv,10
atmospher,161
surfac,48
greater,37
sum,40
featur,330
burnout,2
award,137
proper,53
perform,966
toward,153
lag,5
took,195
darker,23
prove,152
rivet,36
retrospect,12
poetic,23
ride,137
innoc,108
ponder,14
prais,52
notwalk,5
notdraw,1
notgrace,1
terrifi,35
scarier,7
random,28
pile,14
week,136
excurs,4
section,39
neither,60
us,639
blurb,5
box,110
promis,69
exclus,12
regret,52
mayb,313
notdisappoint,48
notcall,10
notregret,19
cool,152
fave,11
went,251
ace,10
broken,41
arrow,7
ghost,70
soundtrack,173
cd,15
r2,1
notavail,15
vestron,2
finger,21
puls,5
uniqu,181
1980s,33
appar,123
astonish,38
specif,44
chord,6
static,10
resurrect,10
donni,3
darko,3
drek,1
forgotten,73
bargain,9
bin,7
faith,77
renew,9
fascin,147
approach,93
companion,31
piec,316
trepid,6
report,56
wide,67
tout,4
controversi,42
explicit,29
thorough,90
provok,37
experi,286
sincer,40
major,187
lame,31
pornographi,9
perhap,273
assum,41
intend,81
titil,2
intent,61
unerot,1
protagonist,62
throw,76
realist,169
human,379
convinc,151
endur,26
breast,15
saggi,3
nippl,2
thigh,1
fat,30
chubbi,1
audienc,375
accept,114
fault,50
necess,15
briget,1
bardot,2
bombshel,8
nullifi,2
invest,17
deliber,25
pace,197
patient,31
unassum,6
reward,47
verg,12
puberti,4
affect,98
lifeespeci,1
elliott,10
sleeper,17
fade,30
away,379
badit,3
receiv,90
outsid,91
arthous,17
circl,19
student,77
morn,43
channel,74
four,119
poignant,47
class,131
grave,15
error,17
journo,1
logic,43
tag,19
mislead,10
serv,86
demonstr,43
theyr,126
ask,185
yester,1
chalo,1
di,3
daar,1
chand,1
ke,4
paar,1
lata,3
mangeshkar,2
mohd,1
rafi,1
lyric,36
kaif,1
bhopali,1
photographi,82
sail,8
boat,30
chalt,1
pakeezah,8
meena,5
kumari,5
last,514
picturis,1
chang,344
raj,4
kumar,11
feet,31
accident,43
train,117
cabin,17
upon,119
note,170
describ,128
kamal,5
amrohi,4
grandson,4
reviv,21
grand,72
notchang,12
poor,144
roll,112
india,40
radio,44
inhi,1
logon,1
ne,3
recognis,17
notmiss,82
superflu,5
dialogu,200
stellar,24
mumari,1
joy,72
indian,88
close,257
countri,201
rival,51
mina,2
exhibit,21
produc,264
memor,143
danc,179
highest,28
notic,121
backgroundoth,1
drunk,38
stair,8
activ,37
knew,145
bet,45
unless,52
noticeal,1
perfectionjq,1
notnoticeal,1
homag,24
actressth,2
masterpiec,205
poetri,19
screenlik,1
timelessdirectioncastscreenplaymusiclyricsin,1
norm,15
moviemak,13
chosen,35
suit,83
messag,176
filmth,8
muslim,17
societi,146
present,255
respectnobl,1
realityth,1
meenaashokraaj,1
kumarnadira,1
fewperson,2
regal,5
kapoorth,1
master,139
maker,61
legaci,16
subcontinenta,1
realiti,161
outcast,8
worldin,1
ka,5
naam,2
pakeeza,1
haan,1
pakezasuch,1
unheard,4
sexdanc,1
screenplay,103
subtleti,26
actual,629
eleg,31
artist,154
costum,107
set,588
spectacular,70
vast,35
notseem,52
requir,70
acquir,22
tast,114
wham,2
bam,5
otherwis,75
front,93
bollywood,27
centuri,126
1010,126
dil,2
wale,4
dulhaniya,1
le,26
jayeng,1
version,369
odyssey,15
greek,15
mytholog,10
almost,459
origin,509
minor,92
deviat,2
omiss,2
scylla,1
charybdi,1
eumaeus,1
swineherd,1
recogn,62
odysseus,3
disguis,21
hut,4
sceneri,75
contribut,41
masterpiecenot,1
hollywoodish,3
swordandsand,3
bflick,1
notwithstand,6
subtitl,76
italian,88
familiar,120
head,237
tail,9
provid,181
handi,8
text,23
studi,86
languag,102
emilio,1
miraglia,2
giallo,10
evelyn,4
gothic,21
side,223
equat,10
around,495
delight,153
emphasi,21
finer,2
result,149
labyrinth,10
herring,8
thrown,40
minut,339
bonus,24
improv,50
fight,256
grandfath,12
explain,111
legend,74
behind,185
lurid,14
castl,54
revolv,34
queen,70
hundr,36
seven,60
murder,253
tribut,42
import,215
heavili,26
women,197
stylish,38
argento,2
spill,8
blood,116
top,286
volkswagen,1
beetl,6
fenc,10
favourit,96
stun,132
barbara,42
bouchet,2
marina,4
malfatti,2
eyepleas,3
ladi,152
afraid,47
cloth,53
courtesi,9
bruno,14
nicolai,3
catchi,20
psychedel,6
rock,177
fit,142
turnoff,2
rev,4
ident,60
genr,232
notlose,6
notafraid,14
notfeatur,4
histori,289
trivia,9
destini,26
conspir,5
test,41
secret,135
desir,82
classic,497
poet,11
gift,47
besid,95
shed,27
tear,108
byeby,1
manhood,9
sublim,20
omg,3
5,134
sahibjaan,1
among,168
jeweleri,1
wear,66
fountain,5
court,36
yard,18
casual,24
polish,33
accomplish,65
associ,33
ie,52
tacki,11
farc,14
wholesal,1
unsuccess,8
imit,38
themesgenr,1
indigen,5
subcontin,1
madam,7
butterflylik,1
welldevelop,5
unrefin,1
standard,138
percept,29
urduspeak,1
milieux,1
understat,9
convey,56
dynam,31
behold,18
nuanc,38
lost,232
acquaint,10
more,4
custom,22
coupl,268
captiv,68
enhanc,41
display,81
command,47
kathak,1
case,234
tragedi,76
heroin,42
hesh,5
parti,94
pinnacl,9
parallel,33
notfall,9
notacquaint,2
nottake,51
greatest,191
achiev,124
overwhelm,37
breathtak,54
cinematographi,197
creativ,84
element,198
worthi,50
superl,16
passag,15
spell,44
bind,6
diminish,11
abyss,5
artifici,15
pop,74
cultur,139
drill,9
orient,19
pt,3
shall,29
golden,44
word,255
annal,3
endeavor,8
12,82
vital,15
up,21
lead,392
termin,13
1971,18
advic,30
spectacl,9
epic,90
mediat,3
round,70
clean,52
copi,147
mangl,2
scratchi,1
jerki,2
tape,82
dubai,2
90s,60
quirki,43
english,151
dizzi,6
widescreen,24
coverag,5
fluid,10
full,279
140,2
blind,43
westernis,1
gather,33
valu,147
sponsor,5
de,112
rigueur,1
offer,164
jettison,2
drum,24
machin,55
beat,94
bhangra,1
notblind,1
kangwon,3
provinc,8
misnomerit,1
hong,45
sang,8
soo,5
filmther,3
warstroubl,1
conflictsso,1
establish,63
suitabl,33
valid,8
filmif,2
judg,78
korean,27
titlekangwondo,1
ui,2
cryptic,1
statement,41
turmoil,11
resthong,1
prolif,11
errat,4
livesth,2
moodswhim,1
fanci,27
nothing,1
meritori,1
virtu,14
salut,7
courag,57
speak,121
volum,16
ubiquit,3
relationshipssenti,1
liveswheth,1
notthi,2
fair,159
deduc,5
sangsoo,2
clear,214
previous,142
includ,330
multipl,34
connect,92
relationship,228
potent,12
dosag,2
ironi,28
inject,11
highlight,62
fallibl,3
decisionmak,1
balanc,70
pull,139
twice,85
row,24
technic,76
product,287
gotten,52
steadi,15
wallop,3
gain,45
assur,22
refin,7
tighten,5
vision,81
810,117
notpack,3
indic,21
asian,25
kept,113
tsai,1
mingliang,1
hou,2
hsiaohsien,1
cover,118
ground,59
themat,12
singl,122
overt,10
minim,19
slight,104
less,290
pronounc,6
camera,176
somehow,95
selfconsci,4
slow,167
plus,86
subject,167
detach,8
openend,3
bare,70
resembl,51
forwardmov,2
sophia,9
coppola,6
translat,45
wander,16
languish,2
hotel,37
room,116
punk,22
panti,2
notkeep,15
notdirect,7
season,130
pasolini,3
itali,43
integr,34
color,154
file,8
share,96
dialog,104
voic,191
kongwondo,1
intim,28
meaning,26
meaningless,12
various,98
empti,29
seek,79
escap,113
natur,251
observ,52
shortcom,19
captur,180
within,131
over,46
simplic,22
slowmov,6
contempl,18
allow,141
intens,116
honest,135
glitz,3
notforc,3
plotlin,8
hustl,6
bustl,3
citi,215
tranquil,5
shown,171
trip,108
popular,121
park,57
mountain,60
epiphan,1
moment,379
form,166
glam,3
satiat,2
notsatisfi,5
emmi,15
mama,7
gypsi,10
bett,18
midler,12
diva,12
las,7
vega,21
concert,30
stage,138
1970s,36
electrifi,8
busi,139
descend,10
atop,5
prop,16
cloud,16
charisma,25
rapstyl,2
joke,147
segu,7
varieti,43
select,40
burlesqu,7
incorpor,24
sophi,12
tucker,4
adlib,3
hyster,30
treat,132
shameless,9
plug,8
wive,17
club,68
wind,73
beneath,18
beach,27
longtim,14
ballad,16
liter,71
rainbow,6
repertoir,6
album,32
span,20
divin,18
buy,185
notrent,5
showcas,40
whenev,45
possess,43
sing,142
1979,23
goos,4
bump,17
urg,24
either,231
nearest,8
purchas,66
indescrib,7
whether,130
antic,27
dab,3
strain,14
tremend,43
incred,226
vocal,15
spirit,119
mad,102
heartfelt,20
treasur,59
raunchili,2
dress,88
punch,42
powersing,2
oldperenni,2
libe,2
strong,290
mixtur,21
wideey,3
mischiev,8
push,60
boundari,10
boston,19
fenway,3
basebal,44
addict,41
homerun,1
ballplay,1
refer,91
bosox,1
failur,32
overag,1
overthehil,1
selfserv,2
kevin,38
costner,5
attempt,178
critic,194
jimmi,54
job,436
lovestruck,1
suffer,116
jone,44
whacki,1
sox,13
fanat,19
team,146
coast,16
fast,93
pretenti,23
seat,50
popcorn,16
readi,56
pitch,34
winner,50
footag,66
miracl,25
2004,23
player,94
chick,31
comeback,16
ben,78
buddi,49
draft,12
determin,45
game,179
wholesom,13
spous,6
date,166
signific,52
otherespeci,1
fanand,1
370,1
public,97
seventi,20
myth,20
attribut,13
homer,18
journey,120
troy,2
war,357
ancient,36
minoan,1
mycenaean,1
civil,58
list,122
500,7
event,186
toke,1
1100,3
bc,9
1969,9
mono,2
caption,5
piti,49
moviecut,1
funnyi,4
dirtiest,2
york,140
yanke,8
ny,5
dirti,73
wordsorri,1
fansi,1
familyof,1
cours,395
lovecomedi,1
moviether,4
moviewith,2
dobut,1
slapstick,34
momentsth,5
parkhow,1
86,6
screw,17
accid,61
airplan,15
europ,44
fallon,10
lindsay,7
meek,12
barrymor,17
eyeopen,6
80oddyear,1
streak,4
portray,338
2000s,3
frequenc,4
nothalf,3
nottend,2
sucker,11
rom,2
com,4
keen,17
guy,424
anyway,167
sport,70
hubbyboyfriend,1
saturday,46
cri,172
notalway,41
truth,117
slot,5
math,4
teacher,48
success,263
lindseydrew,1
inform,113
benteach,1
lindsey,3
confess,26
massiv,31
quid,4
char,11
angel,66
50,45
hugh,27
grant,68
somebodi,29
difficult,129
task,23
merg,14
oil,26
water,107
equival,14
split,23
atom,3
comed,59
ordeal,8
wrightman,2
falon,1
rabid,5
redsox,1
curs,30
plagu,29
nut,13
farr,1
brother,253
notlike,187
ok,94
farrelli,7
recal,46
alright,17
taxi,18
penanc,2
forgiven,13
mistak,77
cutest,7
smile,101
adam,50
sandler,24
puppi,11
hung,20
worthwhil,37
notnormal,7
notrecal,10
notsuppos,9
cliché,49
hide,61
inevit,44
breakup,4
spite,28
schoolteach,1
comedian,37
consult,3
grow,126
attend,50
baltimor,11
pari,71
anaheim,1
dissolv,5
prioriti,7
pintsiz,1
wannab,15
premis,73
perish,3
break,160
bambino,2
gross,27
gag,50
mistaken,24
joyous,10
romp,19
guilti,34
blue,81
jay,28
admir,84
reeeaalli,1
rotten,10
ps,34
nowaday,28
wed,65
iren,11
unnecessarili,4
dement,17
unpalat,1
profan,15
likabl,68
abrupt,29
bang,23
finish,116
known,170
stomach,24
garbag,33
okay,72
rest,238
notincred,2
crush,32
9th,2
grade,58
snl,14
diehard,12
pain,98
clip,31
alc,1
ear,22
hear,174
bearabl,3
ed,35
burn,67
angelina,7
joli,10
stupid,101
posit,111
career,173
ahead,70
thank,221
hank,43
russel,27
crow,9
flop,12
busom,1
australian,28
soap,20
opera,36
here,29
notfind,50
miniseri,29
twenti,43
characterplot,1
tale,212
adventur,182
succeed,91
restrain,15
dub,56
frenchbut,1
synchron,2
spoil,64
pappa,1
penelop,11
recogniz,13
north,43
american,405
notspoil,13
sold,23
thousand,43
jam,13
theater,156
comedyabout,1
themr,1
lust,19
win,188
ion,1
skye,2
latest,37
irrever,11
disconnected,1
add,198
proceed,31
ambianc,8
fulli,83
transpir,8
limit,97
aficionado,8
bless,24
wrought,5
novic,12
mike,39
leonard,12
septemb,24
05,1
noteven,144
notstop,38
commit,68
trick,58
itll,20
mold,6
alik,45
notenough,33
plane,32
nz,1
measur,28
uk,47
favor,37
attach,26
lean,20
arsenal,3
fc,2
brit,10
spring,40
broke,28
frame,61
weird,113
notneed,30
winter,58
step,77
lower,35
pedest,2
notstrike,2
herd,12
most,140
buzz,7
own,24
poop,1
sleepless,5
drag,54
passion,86
recoveri,6
ex,20
fatethey,1
datesometh,1
five,111
experienc,47
antilov,1
dramat,123
montag,16
reunit,24
modern,183
timesand,3
hurt,63
kick,76
notfollow,13
notfeel,35
nothurt,13
low,150
huge,167
revel,41
catwoman,5
trailer,82
mesmer,24
alreadi,188
cheesi,80
pun,15
325,1
notmesmer,1
separ,49
immatur,10
sell,53
ticket,31
inherit,18
uncl,37
gave,232
shadow,56
deeper,39
st,18
thumb,44
shower,20
zone,26
heavi,77
stuff,182
continu,173
barki,2
creator,42
dealt,28
abandon,31
tactic,7
nick,35
hornbi,1
soccer,22
england,66
consum,13
write,248
lowel,2
ganz,2
babaloo,1
mandel,1
hero,183
honesti,16
poem,26
literatur,21
crassli,2
exploit,72
respect,145
render,28
defin,50
inferior,20
son,200
will,65
mother,199
restless,8
held,52
listen,97
thursday,5
negat,67
latifahdo,1
seriouslythi,1
fell,53
nerd,17
necessari,45
sunday,56
norway,4
haha,8
notask,9
30,58
leagu,34
pennant,1
race,79
hang,50
bill,114
sin,24
contain,138
obligatori,11
pet,19
dog,102
par,23
delv,19
decis,42
center,77
trump,1
quirk,8
deep,138
sorta,6
7,146
point,491
subtract,2
notperfect,23
fri,20
pan,22
dudley,4
dooright,1
chin,5
leno,7
character,27
stereotyp,64
vulner,28
male,87
bond,82
depict,114
mania,2
sportshat,1
teenag,137
pleasant,97
spend,93
hour,264
flic,6
mom,54
pine,4
blah,5
climat,12
extraordinari,57
imposs,76
notwait,74
overlystereotyp,1
sportsmad,1
equal,106
banana,6
zealous,2
hey,54
terrif,139
makeyoulaugh,1
west,88
breath,54
violenc,159
famous,145
¨town,1
tamer¨,1
clit,1
tollingerrobert,1
mitchum,7
hire,55
citizen,39
rid,18
gunsling,5
leo,6
genn,1
claud,5
atkin,1
baronland,1
hoodlum,5
blacksmith,2
meyer,14
karen,13
sharp,32
boyfriendjohn,1
lupton,1
marshalhenri,1
hull,3
saloon,11
owner,57
ted,38
corsia,3
clint,26
lawman,4
appoint,8
deputi,7
peac,59
cartel,2
¨,1
warn,79
weapon,31
ban,17
hardwar,2
marshal,17
offic,144
exgirlfriend,7
jan,20
sterl,13
charg,50
angi,13
dickinson,14
lawrenc,31
council,3
raw,42
method,33
carri,137
landown,4
tolling,3
excit,184
sheriffforhir,1
grim,47
pacifi,2
citizenri,1
wors,74
showdown,16
phenomen,15
aveng,17
gunfight,7
vivid,51
spartacus,3
cleopatra,2
white,227
lee,80
garm,2
motion,68
richard,191
wilson,19
capon,1
attic,3
¨invit,1
¨zane,1
grey¨,1
offbeat,16
tough,85
profession,67
tamer,10
gig,5
stroll,7
former,85
fling,3
stumbl,38
puppet,12
gangster,58
townspeopl,7
rue,4
tax,9
plain,44
drifter,10
averag,113
toughguy,1
forgett,10
runofthemil,7
charactercent,1
self,70
gear,15
knock,38
actionpack,7
notone,52
arriv,79
estrang,16
news,46
tho,10
reconcili,4
slim,7
whilst,39
sheriff,29
townsfolk,7
reput,37
pistol,5
specialist,2
strip,19
choos,64
unsavouri,1
stride,6
thru,18
brood,16
menac,26
wayn,41
charlton,11
heston,20
justifi,29
sequenc,195
pierc,38
stare,17
sole,33
credenti,4
unfair,21
villain,105
villainesqu,1
prick,3
realis,42
cowritten,4
tone,94
violent,100
7510,9
storm,30
media,57
1955,11
jett,1
rink,1
giant,44
