Word,Frequency
anyth,571
semicompet,2
keep,355
sequel,225
mysteri,195
theater,225
3000,24
friend,466
rent,343
laugh,512
poor,652
ridicul,321
thought,630
joke,315
imbd,2
china,21
obrien,8
ii,56
notwait,22
saw,582
first,1282
incarn,7
wors,415
funnier,27
your,393
fan,576
materi,163
howev,549
sort,266
meaning,21
plot,1251
abil,92
moviemak,13
skill,78
best,687
avoid,343
stutter,6
fastforward,15
hilari,132
mindless,44
entertain,449
whatev,136
free,113
tv,416
cynthia,7
rothrockchina,1
obrienmanhattan,1
chase2000,1
enjoy,543
course,1
cute,87
petit,4
gal,13
burn,81
screen,358
artist,115
hot,109
sexi,85
bodi,178
upset,42
polic,105
offic,115
decid,360
call,443
go,1438
back,766
hometown,7
root,49
dad,55
local,168
sheriff,36
older,79
town,150
chang,270
gangster,25
taken,188
women,250
turn,631
trick,52
citi,129
sick,100
tire,105
hell,208
almost,449
guess,345
tragedi,36
strike,52
pictur,257
rothrock,2
bring,225
wonder,452
conclus,98
premier,25
week,102
1975,10
13,31
time,2126
found,434
adequ,31
somewhat,131
fun,341
came,276
discov,103
doc,20
savag,29
bantam,2
novel,160
pulp,17
magazin,32
realm,10
fast,142
becam,102
avid,13
meet,160
book,334
comic,140
con,13
along,241
trek,29
doctor,108
geeki,5
fat,55
event,164
adventur,81
took,174
fab,1
philip,14
jose,5
farmer,12
apocalypt,3
bit,447
bibl,23
day,508
fond,20
feel,719
regard,72
phase,7
admit,171
miss,329
boat,34
know,1082
want,1185
grew,37
screenplay,124
infantil,8
bore,656
resembl,63
30s,13
short,292
lester,10
dent,6
aka,48
kenneth,17
robeson,3
outlin,16
write,415
broke,21
perfect,160
3,260
drama,164
scream,141
treatment,38
georg,118
pal,8
michael,155
anderson,24
helm,10
spoof,45
element,117
target,59
serious,387
fall,300
interest,815
hire,81
secondstr,2
guy,640
player,80
extra,90
acquit,6
paul,86
gleason,7
cours,278
gone,119
fine,153
util,17
facet,4
bill,98
luck,47
televis,128
perenni,3
rest,331
fallen,21
map,10
sad,313
wish,222
copi,128
version,298
hero,158
fear,81
much,1459
pain,217
0,43
2,440
10,433
instead,475
period,105
art,218
direct,613
machin,61
touch,97
3rd,24
stinger,1
sun,18
notknow,320
notwatch,158
dug,8
tonight,16
20,123
sinc,452
rememb,274
flaw,90
wexler,1
enough,613
episod,242
suppos,500
sure,538
take,907
titl,352
notrememb,46
question,185
aris,5
ironi,25
comment,340
seri,318
knew,168
iron,59
tell,487
us,451
usamerican,1
superdoc,1
save,386
south,56
american,274
republ,7
evil,202
typic,133
unrealist,57
way,1205
becom,414
mandatori,9
endfight,1
show,999
present,176
martial,47
might,557
low,293
budget,289
design,104
exampl,254
bronz,5
1,303
outta,11
dread,103
base,268
magazinepaperback,1
dentkenneth,1
superhero,5
five,167
assist,41
expert,33
field,42
endeavor,7
allow,146
combat,19
hokey,19
kinda,56
teenag,110
70s,111
ron,35
tarzan,18
eli,21
never,938
got,671
chanc,174
live,493
shown,135
final,415
understand,311
treat,97
kind,511
tongueincheek,11
campi,36
batman,22
without,471
benefit,25
visual,116
flair,8
corni,56
dialogu,281
cheesi,150
special,369
effect,531
dumb,157
stereotyp,117
crummi,13
action,368
scene,1205
find,723
fascin,67
arnold,6
schwarzenegg,7
rumour,1
modernday,6
remak,156
imagin,226
notimagin,26
fantast,60
putrid,9
mean,521
impli,24
everi,585
demograph,3
group,200
trivial,8
tvmoviequ,1
product,377
60s,47
except,335
accident,40
nap,8
notmean,44
notfunni,93
ago,178
collect,87
billi,33
bob,37
thornton,13
class,129
sling,2
blade,14
simpl,102
plan,125
amongst,35
other,240
inevit,32
odd,113
turkey,46
realis,41
ill,278
incred,192
funniest,36
goe,362
knock,37
whos,85
stink,46
folk,74
minut,747
need,541
work,885
career,168
reason,631
although,343
undeni,14
aw,554
that,683
ire,1
high,446
laden,7
junk,59
furious,17
nobudget,15
flick,374
210,57
push,47
notrealis,1
nothate,10
horribl,380
overact,45
plain,156
said,408
level,181
beg,41
ampl,7
suppli,18
cheap,212
beer,30
santa,35
claus,19
conquer,11
martian,16
yor,1
hunter,52
futur,109
blast,20
theme,134
sousa,1
elsewher,27
310,84
btw,14
heard,206
rumor,14
studio,99
explor,55
waterg,1
vietnam,23
dark,198
nixon,3
jimmi,19
carter,11
era,77
oldfashion,12
chapterplay,1
venom,4
serpent,1
evildo,2
america,94
1936,10
jungl,32
cliffhang,8
unfortun,370
perhap,253
legendari,25
produc,320
often,200
beauti,281
flat,133
adapt,141
pulppaperback,1
luca,12
phil,14
kaufman,14
theatr,64
ad,130
bullwhip,2
batter,7
fedora,2
mix,107
id,276
100,64
lost,221
opportun,74
arch,5
enemi,39
optimist,8
credit,230
fortun,40
dstmob,1
poster,30
autograph,1
convent,27
releas,282
chose,37
camp,86
flack,1
intercept,2
lectur,9
reprint,1
coupl,304
thank,165
comicon,1
attende,1
1970s,51
recal,49
blackhawk,1
band,70
higher,41
hope,490
sidenot,2
second,347
archenemi,2
lot,747
simultan,7
footag,106
shot,410
most,140
establish,28
onesheet,1
leap,14
brick,11
wall,57
shoulder,16
built,28
pistol,8
wear,118
duster,1
button,29
white,181
shirt,18
tie,61
word,316
evilcom,1
next,262
summer,60
postscript,1
anyon,496
accompani,28
san,28
diego,4
smack,15
idiot,134
side,175
head,326
dorkknob,1
fu,25
manchu,11
stripe,6
baggi,1
canva,4
pant,21
carri,114
paramount,5
portfolio,2
british,127
rank,50
sommerset,1
maugham,4
quartet,5
travel,87
contempori,1
speech,27
clip,38
pre1950,1
deliveri,27
anycas,2
trio,13
tighter,7
filmic,7
overcom,19
sourc,39
written,259
2530,1
prior,37
consequ,24
1950s,34
maughm,1
prewar,1
popularist,2
small,200
moral,78
storytel,28
rather,435
quaint,11
downright,49
coy,6
nottravel,2
notovercom,4
notdownright,2
snarki,2
homophob,5
thing,1315
date,117
1976,10
meanspirit,11
fill,136
gay,86
redd,2
foxx,6
standard,146
schtick,7
warren,18
tri,1106
dimension,17
pearlpearl,1
pearl,14
bailey,7
far,502
audienc,368
director,761
schlatter,1
sell,68
comedyofil,1
central,65
pimpi,1
outfit,33
polyest,5
carpet,5
entir,355
norman,9
blaxploit,8
combin,77
number,161
sitcom,36
involv,319
misunderstand,9
elong,1
cameo,64
waylon,1
flower,18
sam,51
bobrick,1
clark,25
tale,104
estrang,6
marri,94
son,133
secret,90
gayand,1
minc,5
pranc,6
homosexualha,1
limpwrist,1
shame,152
earli,209
compani,91
digniti,17
confus,198
chuckl,31
perform,541
humili,19
ben,69
wife,236
beatric,4
run,421
brother,176
rush,60
unload,1
woeon,1
lover,74
effemin,3
garson,3
denni,23
dugan,2
needless,45
numer,53
complic,27
followinclud,1
attempt,414
homosexu,17
fix,29
hooker,14
tammi,1
dobson,2
descript,27
deal,141
gari,35
f,70
taylor,30
gft,4
amazon,11
review,483
nottake,58
there,513
amaz,148
mr,161
william,82
lead,384
melvyn,3
dougla,25
lousi,66
lazi,41
glib,4
usual,314
scriptwrit,22
dislik,44
person,441
learnt,1
also,954
despis,20
polit,120
chromosom,2
talent,306
actress,231
illeana,2
familiar,80
hollywood,277
1930s,27
tend,36
glanc,17
imdb,181
list,137
murder,204
wiliam,1
everyth,351
obvious,395
rate,425
point,636
challeng,40
babi,89
devour,8
wild,66
canin,1
mother,163
accus,25
succeed,78
meryl,13
streep,14
melodramat,24
overwrought,11
genius,50
struggl,101
ultim,130
throw,153
slam,15
media,40
bias,20
sensate,4
disregard,10
either,362
truth,101
ethic,7
dare,36
note,147
qualiti,287
sever,229
understori,1
endur,45
scrutini,3
haunt,57
adam,39
sandler,11
compar,161
1989,11
constant,96
acknowledg,18
hidden,43
frustrat,66
blockbust,49
featur,291
daddi,24
maddison,1
yet,372
express,84
consist,83
success,164
major,195
convers,37
unrecognis,1
beat,75
ugli,79
talk,344
camera,289
throughout,192
refer,97
content,62
awkward,49
embarrass,172
immedi,63
forget,124
ruin,127
pass,185
video,356
store,127
wast,831
notyet,14
notget,220
nottreat,4
fastpac,9
45,27
long,537
complex,45
key,52
style,206
whole,562
slick,17
vibrant,9
backdrop,21
especi,299
fact,558
colour,26
extrem,266
rich,71
gangland,1
identifi,25
foreign,40
manag,212
distinct,33
australian,31
notcomplex,1
sorri,206
mistak,116
line,528
summaryrun,1
busey,9
anoth,726
scenarioi,1
nightmar,67
plato,1
runi,1
lull,4
intens,46
risk,37
modern,102
overdon,30
strict,37
rambo,11
mental,82
standout,9
innov,20
land,86
mine,51
memor,82
keeper,5
notoverdon,2
notenough,92
duke,26
hazzard,12
achiev,59
,100
53m,1
given,297
downmarket,1
25year,1
servic,44
rare,73
atroci,80
johnni,38
knoxvill,8
passeng,8
protagonist,40
mc,4
gainey,3
rosco,9
bland,62
thug,20
weston,7
eno,3
tiresom,31
ideallycast,1
willi,24
nelson,10
check,175
clear,259
burt,30
reynold,21
stuck,75
purgatori,4
doom,26
reliv,3
curious,59
choic,105
boss,52
hogg,9
heckler,1
hundr,53
dollar,84
seann,4
scott,74
jessica,33
simpson,29
charismat,9
presenc,61
jay,18
chandrasekhar,3
hopeless,42
born,51
unabl,54
basic,290
twoshot,1
clueless,16
shoot,166
car,199
chase,120
alon,179
decent,277
stunt,39
determin,36
sap,11
sign,74
materialis,2
neat,25
postmodern,6
revolv,40
around,513
confeder,4
flag,14
daisi,11
pine,7
hal,10
needham,4
char,8
angel,57
inspector,20
gadget,17
thunderbird,15
full,230
length,42
cousin,30
luke,21
bo,33
counti,13
spend,171
drive,124
general,228
lee,112
stop,275
farm,25
destroy,107
nasti,98
jefferson,1
davi,33
razzi,10
nomin,40
huge,201
coal,3
uncl,34
jess,22
equal,80
p,13
coltran,4
joe,69
baker,17
governor,6
jim,36
applewhit,1
jack,62
polick,1
deputi,5
cletus,1
david,129
koechner,1
cooter,2
davenport,3
strate,1
lynda,3
paulin,3
impress,192
gorgeous,41
leg,45
catherin,27
bach,8
besid,74
notquit,70
love,846
classic,301
tom,76
wopat,2
john,261
schneider,6
sorrel,1
jame,107
denver,5
pyle,4
sonni,10
shroyer,1
jone,54
dissappoint,3
moonshin,3
portray,210
unimagin,27
lawabid,2
crimin,60
smoke,35
weed,8
georgia,9
plus,106
extens,15
reunion,10
die,268
aliv,60
1997,13
ran,42
magic,68
dead,309
11,26
8,60
brought,85
2000,24
disgust,96
disgrac,32
buy,159
walmartcom,1
dvd,390
set,549
includ,256
cd,14
notwast,186
notworth,122
1980s,38
updat,32
fresh,41
femal,189
flesh,50
raunchi,6
languag,63
repeat,92
whenev,48
front,114
new,539
york,75
california,24
somewher,107
2005,15
orang,14
dodg,9
charger,2
72705,1
notrepeat,3
hazard,2
worri,53
drug,105
cuss,4
crude,39
behavior,52
young,390
children,187
longer,88
case,286
main,392
cool,148
certain,322
trash,148
flirtati,1
belong,54
corner,23
paid,103
excit,152
15,97
readi,53
left,369
tast,121
mouth,88
favor,91
money,554
caus,170
hour,436
mani,860
argu,34
msn,1
site,54
thatand,1
quoteyou,1
fogi,1
24,13
wo,208
profan,21
drink,68
necessari,30
morn,37
discuss,47
frank,80
fluke,6
mayb,432
sean,42
approv,9
today,102
voic,144
negat,78
opinion,194
posit,176
remark,52
notapprov,2
geez,7
nephew,15
weekend,59
yeah,107
gilligan,6
island,69
bother,177
disappoint,530
comedi,448
bought,87
799,1
assum,83
halfway,52
nake,81
judg,79
rrate,3
scantilyclad,4
cover,176
none,204
im,951
snl,18
reminisc,30
ol,13
timesbut,2
dri,57
lowbudget,66
quirki,21
steadi,11
extend,18
sketch,24
showbut,3
annoy,295
implaus,31
place,408
receiv,80
mass,29
inspir,104
henni,2
youngman,2
floor,54
logic,61
current,61
recent,160
known,136
penguin,10
madison,6
midget,9
happi,132
gilmor,1
amateurish,77
filmyou,1
underr,20
nut,35
sandman,3
thankless,4
vehicl,57
appear,355
zane,5
titan,12
support,163
rocki,13
signific,33
score,156
notbother,68
notsure,77
noteven,585
notknown,5
wont,28
buck,61
went,284
fourth,21
season,73
preview,40
slut,11
pie,20
put,534
sex,250
gotten,46
r,38
suspicion,11
jump,102
sum,78
tart,1
academi,40
award,94
4,215
straight,122
face,297
gave,230
empti,61
sat,95
trough,1
countri,117
girl,498
ditzi,4
closest,9
offens,70
notic,106
hog,5
tall,20
size,25
someon,448
danni,30
devito,1
husband,132
match,66
tee,2
cleari,1
member,124
ts,2
thumb,33
notone,119
notditzi,1
mano,9
hand,319
fate,35
drag,113
poke,14
gigant,13
hole,74
eras,8
75,13
million,72
statement,34
condit,33
societi,74
away,447
realiz,186
noeffort,1
appeal,140
recommend,380
desper,101
fool,81
public,125
open,302
market,68
despit,208
forewarn,8
abound,11
notrealiz,17
trend,18
quot,41
sleazi,29
piec,385
14,25
flaunt,2
garbag,154
excel,162
drawer,6
brunett,7
qualifi,25
opposit,47
comparison,52
curios,32
ticket,34
dont,45
pay,177
notunderstand,82
notrecommend,125
notlike,153
notthink,177
renam,6
jackass,6
88,9
immatur,16
punk,20
joyrid,3
fame,41
1968,13
elud,3
law,50
grade,111
offici,22
travesti,35
motion,78
genuin,59
backlash,2
crap,312
spite,30
box,131
return,149
industri,80
repel,7
grub,1
suck,211
prove,130
churn,13
perpetu,17
cycl,10
gon,64
na,102
bionic,1
110,81
schnook,2
ashton,1
krutcher,1
steve,41
martin,58
britney,8
spear,8
kiefer,1
southerland,1
music,455
object,56
matter,198
castcrew,1
select,27
dvds,16
overboard,10
buddi,51
shock,163
hit,205
puberti,3
12,124
30,112
smirk,6
horrid,39
movieand,7
angl,47
hear,161
moviebecaus,1
madeev,1
nothit,6
notlaugh,18
notbeliev,194
notwork,90
childhood,36
rape,82
outhous,1
hold,128
cri,75
stiffler,3
tough,53
greedi,11
pot,14
wrongim,1
liber,28
chiba,9
trailer,84
air,109
order,151
ass,50
cop,104
barney,12
fife,1
load,54
error,36
torn,16
continu,183
prickett,1
dirt,13
hill,80
slow,207
near,271
win,110
race,63
notboss,1
reviewa,1
pointsil,1
analog,9
herein,6
strut,8
enosand,1
questionenoswher,1
roscoein,1
cloud,9
judgment,11
aresh,1
askedenosi,1
movieth,5
bikini,14
yeseven,1
saidno,1
reallya,1
bikinish,1
stark,8
nakedand,1
filmmakingstay,1
notreallya,1
snorefest,3
name,467
overweight,7
notoverweight,1
author,70
strip,28
valuabl,20
ore,1
cradl,6
grave,42
okay,161
starski,1
hutch,1
mess,224
forgot,25
add,178
106,1
kept,141
els,380
bare,138
gag,76
thirti,29
alreadi,241
may,454
dull,224
skip,131
410,83
notsave,37
youd,71
premis,191
boy,238
trampi,1
sinist,28
capabl,39
jessi,3
criminalon,1
flash,46
close,246
dumber,19
makeov,4
norm,11
disrespect,14
toilet,39
doyoukissyourmotherwiththatmouth,1
foul,12
ripoff,63
blatant,38
finger,38
north,29
masondixon,1
shine,49
jail,20
parol,2
violat,14
compass,9
previous,138
insult,122
parent,117
remov,42
within,102
deceiv,11
valu,173
safe,43
hemi,1
teach,47
carlin,1
seven,43
state,152
racist,29
commit,82
correct,59
absolut,385
incorrect,20
disdain,4
yanke,6
rebel,17
otherwis,138
honor,30
loyalti,9
trust,62
popular,94
light,218
belief,51
heartland,2
uneduc,9
swill,3
will,48
elitist,5
boycott,5
sponsor,7
warner,20
bros,11
snail,7
mail,15
complaint,23
appreci,96
greatest,70
nottell,37
notgo,118
notappreci,3
amount,97
men,214
situat,130
il,9
top,226
wind,59
10xs,1
less,300
victim,115
rerun,21
notgone,2
notcome,37
notsee,161
remad,19
solid,50
alright,34
late,166
70s80s,3
aint,1
workin,1
anyway,225
advantag,23
crappi,71
lovabl,14
sicken,24
strong,151
southern,30
model,55
grow,83
own,21
doll,35
jeep,13
2bit,1
blond,70
alba,9
speak,171
accent,108
done,454
blew,14
fierc,7
rip,103
850,3
refund,11
itll,17
cmt,2
tivo,3
imit,36
expect,521
surpris,335
storylin,157
tradit,50
cliché,121
explain,161
rob,32
notsay,97
third,112
fifth,10
antic,18
forgotten,65
piti,73
board,57
yacht,3
notleast,11
sometim,172
1998,10
saban,2
acquir,14
brandnew,1
ninja,23
turtl,10
liveact,7
natur,156
tmnt,2
peak,23
understat,10
revisit,12
mutat,14
can,16
creator,30
ignor,90
iter,2
execut,122
stand,193
odditi,10
turtledom,1
buri,33
swedish,12
type,190
strang,167
soooo,8
den,6
tredj,1
vågen,1
prime,31
procedur,5
plausibl,27
window,49
path,26
process,49
rånarna,1
simpli,348
suspens,149
weak,177
filmmak,232
focus,114
hollywoodact,1
effort,242
movieindustri,1
notlive,22
past,186
evolv,9
harden,5
heat,19
follow,325
prescript,2
noll,1
toleran,1
livvakterna,1
stefan,7
sauk,1
convinc,164
portrait,12
swatteam,1
leader,30
don´t,5
greenthumb,1
penniless,3
death,273
ganjagrow,1
everreli,1
brenda,20
blethyn,5
sitcomthin,1
garden,29
toke,1
shes,176
humour,52
twee,1
nun,8
stun,66
pace,129
evok,12
memori,78
ryan,31
daughter,150
whilst,44
lightheart,8
whimsi,5
townsfolk,6
antiqu,8
roadshow,3
speed,43
clichéd,49
care,310
climax,65
unpredict,11
introduc,58
shameless,28
deux,2
ex,12
machina,4
notdisappoint,13
fail,342
destin,19
corps,46
rais,71
sympathi,39
nonimport,1
asid,66
writer,267
oooo,1
ladi,129
giggl,22
behav,28
brilliant,109
irrit,103
notrais,5
possess,47
oldbiddi,1
lowkey,12
emphas,8
absurd,88
predica,5
laughoutloud,6
varieti,21
houranda,1
half,360
serv,92
purpos,100
hello,13
exhibit,15
secular,4
lower,60
uk,39
europ,23
hey,66
trace,14
timothi,19
leari,6
messag,125
spoiler,187
paperthin,6
excus,150
onscreen,17
incident,15
hackney,17
tune,58
sporad,3
pop,81
narrat,109
spirit,81
sky,23
cheech,1
chong,3
credibl,61
stodgi,1
english,115
overwhelm,25
inflict,10
emot,155
liter,83
jolli,4
enorm,23
bud,12
litter,8
easi,89
peddl,3
illicit,3
ware,1
london,62
blare,6
dresssuit,1
72,5
zealot,2
overvot,1
notorigin,7
notinterest,19
etc,173
busi,92
craftsmen,2
layer,10
profession,59
apart,140
advoc,6
view,278
predict,243
east,22
cosi,2
cynic,20
monti,7
clue,59
notgot,11
develop,225
warm,32
fuzzi,9
grown,35
clich,40
ring,62
build,110
tension,85
resolut,25
outstand,29
notring,11
notdevelop,13
punch,42
tortur,91
terrorist,31
normal,121
break,160
jealous,8
obnoxi,46
remot,95
rocker,6
black,247
teeth,35
unless,218
hide,71
everyon,334
danger,69
199,1
notbuy,23
flimsi,16
charm,104
contend,10
cornish,1
villag,32
larg,94
popul,23
retir,13
genteel,1
dose,17
marijuana,4
ensu,22
descend,21
ludicr,53
redeem,134
1998s,1
wake,44
ned,16
devin,3
picturesqu,5
oddbal,6
inhabit,24
extract,5
tricki,5
outlandish,14
eccentr,15
transform,39
jacqu,5
lord,42
fit,107
tone,72
hydropon,1
revolut,22
cannabi,2
swap,6
gentl,11
slapstick,24
fake,105
plant,29
notfit,22
regret,56
relat,128
netflix,19
queue,4
advertis,50
categori,58
immens,24
laughless,2
talentless,14
penuri,2
confront,21
offend,34
notwithstand,5
strenuous,1
ars,1
concern,88
reader,21
offbeat,5
dud,30
notoffend,3
anybodi,54
finace,1
asleep,71
gwen,2
paltrow,17
chick,64
clevag,1
anymor,64
danc,123
horriblemi,1
laterdid,1
ya,17
sensous,1
spare,30
marriedthi,1
notturn,14
notya,1
baffl,21
woefulli,11
favourit,32
jane,42
austen,11
hammedup,1
chintzi,3
butcher,23
miscast,42
neither,114
ewan,10
mcgregor,9
toni,35
collett,4
worthi,67
abomin,35
selfconsci,12
nasal,2
slouch,3
disconnect,9
emma,13
bah,5
desultori,1
rework,14
copyright,6
amiabl,3
pack,44
anacron,1
ie,46
appal,46
thin,62
bow,13
handl,82
proper,69
vast,26
superior,57
notshoot,5
outsid,87
war,201
forgiv,35
exist,161
hat,54
haircut,10
notbring,9
notmiss,16
austin,12
pride,14
prejudic,17
sensibl,26
mansfield,10
park,77
chapter,19
se7en,1
dunno,8
knight,14
bloodi,57
patchi,9
sing,74
notstand,39
notcare,109
gwyneth,8
superfici,25
caricatur,36
reduc,35
600,5
page,36
furnitur,8
tea,20
cup,21
sigh,7
relief,29
overstep,1
mark,128
notread,49
notmuch,102
notprobabl,2
notoverstep,1
among,100
advic,80
kate,29
beckinsal,3
prefer,59
notrate,10
shadow,33
singl,158
cujo,1
schecki,1
moskowitz,2
wannab,40
cruis,14
liner,7
mad,88
breakfast,7
wacki,13
gun,115
shoe,27
noriega,1
comprehend,10
australia,16
recomend,6
elev,17
guarante,18
youll,231
notcall,10
began,40
ador,24
canadian,14
twice,64
lose,100
precious,34
busbi,1
berkeley,2
42nd,2
stuff,227
necessarili,38
alltim,12
favorit,124
classicera,2
cagney,7
song,203
anywher,64
hum,6
decad,61
notnecessarili,33
notmemor,4
cartoon,103
anim,207
bambi,3
insinu,3
ducki,1
info,16
sport,48
notgood,58
accid,56
afternoon,33
program,55
channel,125
hbo,22
drawn,50
disney,89
search,61
harvey,23
voiceov,28
uniqu,60
bigger,44
packag,26
attach,33
duck,12
difficult,104
uninspir,49
animationwho,1
adolesc,19
dearth,2
rolemodel,1
resort,19
duckl,3
notappeal,8
bankrupt,4
violent,81
religi,47
child,162
molest,6
sister,104
proud,37
walk,240
road,65
offer,162
limp,9
food,51
water,84
backpack,4
strathairn,1
thorough,58
slimi,8
reflect,40
vile,11
christian,100
cape,9
deniro,6
vers,9
spout,10
northwest,6
nc,2
wv,1
al,46
ms,51
ky,2
tn,1
dr,105
hackenstein,5
centuri,53
1909,2
dawn,26
medic,37
scienc,94
eliot,2
muir,2
stage,115
rejuven,2
tissu,5
experi,211
skin,43
rat,22
confirm,26
dean,31
slesing,1
micheal,9
ensign,2
round,31
dinner,24
eat,90
hackenstien,1
oppos,24
laboratori,10
attic,10
sheila,5
sylvia,3
telepath,4
christi,7
botkin,1
provid,117
appar,220
chicken,18
cage,40
seizur,6
meanwhil,32
wendi,15
darro,2
dyann,1
dirossario,1
lesli,17
trill,1
cox,12
alex,23
alexi,2
melani,3
victor,13
stacey,6
travi,7
crash,58
seek,49
shelter,7
arriv,62
upon,132
doorstep,4
invit,29
four,120
strand,19
visit,59
graverobb,1
xavier,5
logan,7
ramsey,5
rubi,5
rhode,1
ann,43
deliv,142
male,101
specimen,2
avail,40
borrow,37
n,15
richard,116
pleasant,40
ai,35
stretch,57
move,259
settl,33
restrain,10
gain,34
deaf,14
housekeep,7
yolanda,2
cahn,1
kick,75
behind,177
oblivi,6
gore,207
tacki,27
pun,20
sexual,120
innuendo,7
instrument,13
mrs,23
phylli,5
diller,3
bemus,8
detect,53
olin,3
schreiner,1
amus,139
circl,26
told,135
cell,32
prison,67
smile,45
occas,28
quiet,38
limb,10
decapit,13
stitch,3
exagger,34
facial,29
movement,36
bird,17
technic,86
oscar,79
cloth,79
victorian,5
england,32
western,96
room,132
stick,141
candl,10
across,164
overal,243
watchabl,89
harmless,17
notbrilliant,4
notfind,65
notalway,25
pervert,19
conveni,22
nubil,3
deceas,16
horrorcomedi,6
mate,23
stumbl,40
pointless,175
imbecil,7
unmemor,5
comedyparodi,1
ambiti,15
80s,120
accord,58
elliot,4
refurbish,1
belov,27
kill,504
snatcher,4
cadav,4
yell,30
cold,64
miracul,7
nerdi,11
bunch,209
voluptu,2
harem,2
fulfil,20
cash,52
reanim,15
steal,67
aspect,117
onelin,29
genr,183
undoubt,17
loudspeak,2
robber,12
depict,71
anticherub,1
buff,34
wes,25
craven,16
hag,3
neighbor,35
basketbal,7
1900s,4
recreat,21
automobil,4
smoki,3
cauldron,1
test,49
tube,17
fluoresc,2
color,88
frankenstein,9
inject,15
aforement,27
frankenhook,1
pick,183
raini,14
walmart,11
figur,181
purchas,33
project,130
forc,193
etern,29
punish,29
remind,141
vhs,35
cam,4
isnt,7
yay,4
shecki,1
unfunni,85
ship,37
loser,49
understood,30
scientist,80
nude,47
philli,2
notbad,78
notspecial,1
dreck,34
festiv,59
hotel,39
creepi,97
yawn,21
utter,151
actressestheir,1
blank,17
revel,33
blood,174
gratuit,66
nuditi,119
unknown,51
boot,27
sale,18
elm,7
1984,10
eye,277
1977,16
fair,187
mockabl,2
unse,2
killer,223
summaris,2
lucki,35
notexpect,97
boogen,1
devious,5
unseen,15
letdown,19
stephen,57
furst,1
incest,10
attract,107
barbara,14
loi,6
younga,1
helen,12
hunt,59
clone,21
sydney,9
bath,20
scare,128
scari,186
unsettl,10
actuallybut,2
gap,17
forev,64
tens,18
monster,156
expos,39
drab,17
tvmovi,8
nowaday,20
urg,29
nostalg,15
cannon,7
proof,28
fabl,6
fulllength,4
sid,14
caesar,8
vain,21
emperor,17
sli,4
tailor,6
robert,131
mors,6
ounc,6
hapless,13
jason,60
practic,87
nonexist,50
lysett,1
anthoni,43
dub,74
share,64
crawl,25
han,4
andersen,4
somersault,4
oblivion,12
abus,47
unorigin,29
050,1
andor,30
pepper,8
independ,67
accur,57
gaug,5
eventu,98
catch,86
phrase,17
camouflag,3
realiti,110
term,82
psycholog,48
thriller,127
hack,31
writerdirector,32
auteur,13
replac,65
deep,71
insight,50
soul,71
fester,4
repress,8
trauma,8
emerg,28
wreck,38
havoc,12
adult,105
wow,99
bet,41
freud,3
maker,125
kallio,1
dig,36
predug,1
rehash,27
dozen,60
stock,51
9,57
saidhey,1
porn,78
serial,55
florist,1
twist,179
admir,61
